"","nosta","codehydro","nom","courdo","xlambert","ylambert","pk","bv","type","nogest","module","qrefetiage","qix2","qix5","qix10","mnemo","comment","datemaj","typemes","cotedebordement","coteseuil","nomcommune","inseecommune","ngfechelle","dateenregistrement","datecreation","codehydro3","codesitehydro3","synchronisation","region"
"158",69,"I0000002","SAUSHEIM","QUATELBACH",NA,NA,NA,NA,"S",115680,NA,NA,NA,NA,NA,"I0000002","","05/20/98 00:00:00",NA,NA,NA,"",NA,NA,"02/26/25 15:19:00","","A133043201","A1330432",NA,"68"
"162",73,"A1470030","SUNDHOFFEN","l'ILL",976000,2353000,892,1316,"S",115680,14.5,0.53,150,190,210,"I0000001","  -----   Mise  en  service  ( limnigraphe )  le :  29  Octobre  1997 ;
Nivellé par Faber/Schaller en 07/2002
Station déplacé en RG sur la digue en 08/2006 (meme cote)","04/11/16 08:31:00",0,NA,NA,"",NA,18974,"04/11/16 08:31:00","","A147004001","A1470040",NA,"68"
"163",76,"A1150200","SPECHBACH-LE-BAS","la Largue",966.8,2307.26,994.2,238.89999,"S",115680,2.98,0.25,54,76,90,"A1150200","En HE mesures des ponceaux (5) en RD","04/11/16 08:22:00",0,200,NA,"",NA,26293,"04/11/16 08:22:00","","A115020001","A1150200",NA,"68"
"165",78,"A2012020","MUHLBACH-SUR-MUNSTER","la Fecht",954.43,2346.84,NA,74,"S",115680,2.97,0.44,29,40,47,"MUHLBACH","Remise en service le 18/07/2007 à 14h00.
Nivellé par Faber/Schaller en 10/2009 (échelle inchangée)","04/11/16 08:40:00",10,NA,NA,"",NA,43911,"04/11/16 08:40:00","","A201010001","A2010100",NA,"68"
"166",79,"RNB21000","GUEMAR","la Fecht",976.51,2366.35,NA,NA,"S",115680,NA,NA,NA,NA,NA,"GUEMAR","","01/28/00 00:00:00",10,NA,NA,"",NA,NA,"02/26/25 15:03:00","","A216010001","A2160100",NA,"68"
"169",82,"A1554030","WESTHALTEN (3)","l'Ohmbach",NA,NA,992,41.200001,"S",115680,NA,NA,NA,NA,NA,"A1554030","","10/04/99 00:00:00",0,NA,NA,"",NA,NA,"02/26/25 15:37:00","","A153030003","A1530300",NA,"68"
"174",94,"I0000003","SAUSHEIM (ÉCLU.43)","le Canal du R./ R. déclassé",NA,NA,NA,NA,"S",115680,NA,NA,NA,NA,NA,"I0000003","","11/22/99 00:00:00",0,NA,NA,"",NA,NA,"02/26/25 15:20:00","","A034002201","A0340022",NA,"68"
"175",95,"I0000004","HOMBOURG","Canal de la Hardt",NA,NA,NA,NA,"S",115680,NA,NA,NA,NA,NA,"I0000004","","05/20/98 00:00:00",10,NA,NA,"",NA,NA,"11/29/24 10:43:00","","A034030201","A0340302",NA,"68"
"177",98,"A1152010","ILLFURTH","la Largue",NA,NA,NA,275,"S",115680,NA,NA,NA,NA,NA,"A1152010","","04/23/99 00:00:00",0,NA,NA,"",NA,NA,"02/26/25 15:06:00","","A115084001","A1150840",NA,"68"
"178",97,"A1122020","FRIESEN","la Largue",NA,NA,968.05,91,"S",115680,1.16,0.29,22,30,35,"A1122020","Novembre 2010 :Mise en place d'un appareil au pont amont pour caler les hauteurs/débits, en période de crue, à la station
Nivellement échelle en février 2007 (echelle inchangé )","04/11/16 08:20:00",0,165,NA,"",NA,34972,"04/11/16 08:21:00","","A112010001","A1120100",NA,"68"
"179",100,"A1222020","LAUW","la Doller",949.98,2317.72,NA,92.5,"S",115681,NA,NA,NA,NA,NA,"LAUW","","02/22/00 00:00:00",0,NA,NA,"",NA,NA,"02/26/25 15:11:00","","A122201002","A1222010",NA,"68"
"180",101,"A1402030","KRUTH  PT IV","THUR",NA,NA,NA,NA,"S",115680,NA,NA,NA,NA,NA,"PT  IV","","02/10/00 00:00:00",0,NA,NA,"",NA,NA,"02/26/25 15:10:00","","A140020001","A1400200",NA,"68"
"190",112,"A1462050","PULVERSHEIM","THUR",NA,NA,NA,NA,"S",115680,6.14,0.93,67,97,120,"A1462050","Nivellé par Faber/Schaller en 07/2002","04/11/16 08:30:00",0,NA,NA,"",NA,23167,"04/11/16 08:30:00","","A146020302","A1460203",NA,"68"
"194",119,"A2250200","RIEDWIHR","Blind",NA,NA,NA,NA,"S",115680,NA,NA,NA,NA,NA,"A2250200","Arrêt des observations en janvier 2016","04/11/16 08:45:00",0,NA,NA,"",NA,NA,"04/11/16 08:50:00","","A225020001","A2250200",NA,"68"
"195",120,"A2120200","KAYSERSBERG","WEISS",NA,NA,NA,NA,"S",115680,NA,0.48,24,33,38,"A2120200","Nivellé par Faber/Schaller en 02/2007
Le QMNA5 est estimé à partir du qmna5 de Fréland (- 100l/s)","04/11/16 08:44:00",0,NA,NA,"",NA,29812,"01/18/22 14:28:00","","A212020001","A2120200",NA,"68"
"196",121,"A1242010","BURNHAUPT LE HAUT","Doller",NA,NA,NA,NA,"S",115681,4.07,NA,NA,NA,NA,"A1242010","Nivellé par Faber/Schaller en 2007 ( échelle inchangée)","04/11/16 08:23:00",0,NA,NA,"",NA,29613,"04/11/16 08:24:00","","A124020101","A1240201",NA,"68"
"197",122,"A2030100","WIHR AU VAL","Fecht",NA,NA,NA,NA,"S",115680,5.1,0.45,55,80,100,"A2030100","Nivellé par Faber/Schaller en 02/2007
Les débits de crue, sont celles de Wintzenheim La Forge","04/11/16 08:41:00",0,NA,NA,"",NA,30474,"04/11/16 08:41:00","","A204010201","A2040102",NA,"68"
"201",127,"C0000007","ALTKIRCH","Ill",NA,NA,NA,NA,"S",115680,NA,NA,NA,NA,NA,"ALTKIRCH","","",0,NA,NA,"",NA,NA,"11/07/17 13:59:00","02/23/09 15:00:00","A105003001","A1050030",NA,"68"
"210",136,"A2102011","ORBEY (CD68)","Weiss",959317,2358587,NA,33.599998,"S",115680,NA,NA,NA,NA,NA,"ORBEY","","12/20/10 08:32:00",NA,NA,NA,"",NA,46631,"03/13/19 14:29:00","12/20/10 08:32:00","A210020101","A2100201",NA,"68"
"213",139,"A1300300","SAUSHEIM","Ill",975830,320575,NA,917,"S",115680,NA,NA,NA,NA,NA,"SAUSHEIM","Station CG mise en place en mars 2011. Mis en banque hydro en  janvier 2014
Nivellé par DREAL le 31/07/2014 par MD et TH
Superficie du BV calculée via un MNT par Irstea Antony (2019)","04/11/16 09:00:00",0,NA,NA,"",NA,22885,"02/25/19 10:25:00","03/30/11 08:29:00","A130000101","A1300001",NA,"68"
"214",140,"C0000018","ILLZACH QUAT","Quatelbach",NA,NA,NA,NA,"S",115680,NA,NA,NA,NA,NA,"ILLZACH","Station CG 68 mise en service en mars 2011","",0,NA,NA,"",NA,NA,"10/10/19 14:21:00","03/30/11 08:30:00","A133043301","A1330433",NA,"68"
"215",142,"A1502030","LAC DE LA LAUCH","Lauch",NA,NA,NA,NA,"S",115681,NA,NA,NA,NA,NA,"LACDELAUCH","Mesures effectuées dans le chenal de sortie","",NA,NA,NA,"",NA,NA,"02/26/25 15:11:00","06/22/11 16:37:00","A150020101","A1500201",NA,"68"
"217",145,"A1080340","BRUNSTATT","Ill",NA,NA,NA,NA,"S",115681,NA,NA,NA,NA,NA,"BRUNSTATT","Echelle CG68","",NA,NA,NA,"",NA,NA,"02/26/25 14:54:00","02/08/13 08:20:00","A116003003","A1160030",NA,"68"
"219",147,"A1560205","ROUFFACH","Lauch",971257,340756,NA,265,"S",115680,NA,NA,NA,NA,NA,"ROUFFACH","nouvelle echelle en place en RG. L'ancienne est laissée afin de servir de comparaison.Les mesures antérieures à 2014, sont calées sur l'ancienne echelle en RD.","02/12/16 10:29:00",0,NA,NA,"",NA,20103,"04/11/16 09:10:00","02/03/14 15:02:00","A156020101","A1560201",NA,"68"
"220",148,"C00000022","HIRTZFELDEN CRR","Canal Rhone RHIN",NA,NA,NA,NA,"S",115680,NA,NA,NA,NA,NA,"HIRTZFELDE","","",0,NA,NA,"",NA,NA,"02/26/25 15:04:00","02/13/14 07:32:00","A034030301","A0340303",NA,"68"
"222",150,"A1210205","KIRCHBERG","DOLLER",946325,320600,NA,59.599998,"S",115680,NA,NA,NA,NA,NA,"KIRCHBERG","Mis en service en mars 2014","04/11/16 09:02:00",0,NA,NA,"",NA,NA,"04/11/16 09:03:00","03/10/14 14:30:00","A121000101","A1210001",NA,"68"
"223",151,"C0000022","BERENTZWILLER","Thalbach",NA,NA,NA,NA,"S",115680,NA,NA,NA,NA,NA,"BERENTZWIL","Station uniquement jaugée en moyennes et hautes eaux","01/24/24 13:07:00",0,NA,NA,"",NA,NA,"01/24/24 13:07:00","10/23/14 16:21:00","A106000101","A1060001",NA,"68"
"224",38,"A1202050","SEWEN (LERCHENMATT)","la Doller",940.875,2321.138,956.45,8.5,"S",115680,0.45,0.029,9.5,14,16,"A1202050","    -  Mise  en  service  (limnigraphe)  le :  15 Octobre 1991 ;                                                                                                       ----  en  remplacement  de  la  station  de  Lerchenmatt - Aval  ( = A1202020 ) ;
Nivellé par Faber/Schaller  en 07/2002 (échelle inchangée)","04/11/16 08:22:00",0,NA,NA,"",NA,59713,"04/11/16 08:23:00","","A120020302","A1200203",NA,"68"
"225",35,"A1432010","WILLER-SUR-THUR","la Thur",954.221,2326.459,971.13,159,"S",115680,5.3,1.1,57,81,98,"A1432010","","04/11/16 08:29:00",0,NA,NA,"",NA,36561,"04/11/16 08:30:00","","A143020002","A1430200",NA,"68"
"226",123,"A0410301","BALTZENHEIM","Muhlbach ou Grünngiessen",NA,NA,NA,NA,"S",115680,NA,NA,NA,NA,NA,"BALTZENHEI","Nivellé par DREAL (MD et SL le 26/07/2011)","04/11/16 08:52:00",0,NA,NA,"",NA,18141,"04/11/16 08:52:00","","A041030101","A0410301",NA,"68"
"227",153,"A2052010","BENNWIHR GARE","Fecht",NA,NA,NA,NA,"S",367670,NA,NA,NA,NA,NA,"A2052010","","",NA,NA,NA,"",NA,NA,"12/09/19 13:48:00","05/09/19 11:10:00","A214010102","A2140101",NA,"68"
"228",154,"A2260321","GUEMAR (ERLEN)","RUISSEAU DES ERLEN",1031167,6798262,NA,0,"S",367670,NA,NA,NA,NA,NA,"GUEMAR (ER","Nouvelle station du Réseau Ried, installée le 08/08/2019.","",0,145,NA,"GUEMAR",68113,NA,"01/28/25 13:59:00","11/25/19 10:13:00","A226032101","A2260321",NA,"68"
"229",141,"A1160031","ILLZACH V_ILL","Vieille Ill",NA,NA,NA,NA,"S",115680,NA,NA,NA,NA,NA,"ILLZACH VI","Mise en service semaine 19 (année 2011)","",NA,NA,NA,"",NA,NA,"02/14/24 13:06:00","05/18/11 08:28:00","A116003101","A1160031",NA,"68"
"230",155,"A2220001","COLMAR (RIED)","Riedbrunnen",NA,NA,NA,NA,"S",115681,NA,NA,NA,NA,NA,"","Station installée en Novembre 2019 en collaboration avec le BRGM. Nouveau réseau Ried.","",NA,NA,NA,"COLMAR",NA,NA,"12/14/20 15:27:00","12/14/20 15:13:00","A222000101","A2220001",NA,"68"
"231",156,"A1080320","BRUNSTATT_DREAL","ILL",NA,NA,NA,NA,"S",115681,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,"12/13/21 14:56:00","12/13/21 14:56:00","A116003004","A1160030",NA,"68"
"233",157,"A215030101","AUBURE","Strengbach",NA,NA,NA,NA,"S",367670,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,"02/03/23 08:33:00","02/03/23 08:33:00","A215030101","A2150301",NA,"68"
"234",75,"A147004101","MEYENHEIM","l'Ill",975.15,2335.6,NA,NA,"S",115680,NA,NA,NA,NA,NA,"MEYENHEIM","Nivellement réalisé le 17/08/2023 MJ/VM/EP : 204.95","01/26/00 00:00:00",10,NA,NA,"",NA,20495,"02/14/24 11:59:00","","A147004101","A1470041",NA,"68"
"235",152,"C0000002A","OBERSAASHEIM","Canal Rhon rhin",NA,NA,NA,NA,"S",115680,NA,NA,NA,NA,NA,"OBERSAASHE","","",0,NA,NA,"",NA,NA,"02/26/25 15:18:00","05/27/15 07:46:00","A034030401","A0340304",NA,"68"
"236",48,"A1562210","UNGERSHEIM","la Vieille Thur",NA,NA,NA,NA,"S",0,NA,NA,NA,NA,NA,"A1562210","","",NA,NA,NA,"",NA,NA,"02/26/25 15:33:00","","A157022401","A1570224",NA,"68"
"237",1,"K1173210","MONTCEAUX L'ETOILE","Arconce",731860,2152310,NA,598.70001,"S",430450,5.61,0.348,68.2,104,128,"K1173210"," Mise à jour Débits caractéristiques le 16/04/2025","10/16/20 09:53:00",0,NA,NA,"",NA,NA,"04/16/25 16:36:00","","K117321001","K1173210",1,"Loire"
"238",4,"K1391810","LE VERDIER","Arroux",726690,2167690,NA,3166,"S",430450,34.2,2.35,295,372,423,"K1391810"," Mise à jour Débits caractéristiques le 16/04/2025","12/26/00 00:00:00",0,NA,NA,"",NA,NA,"04/16/25 16:12:00","","K139181001","K1391810",1,"Loire"
"239",7,"K4793010","CHAILLES","Cosson",572.841,6717.275,NA,740,"S",430450,2.94,0.138,21.7,38.3,49.3,"K4793010","Cette station est située sur la commune de Chailles (41) au pont de la départementale D751, en direction de Blois.
Type de contrôle: seuil en béton en aval de la station
Equipement: PLQ 2000 2400BD Téléphone: 02.54.79.49.41 nivellement  01/09/1990 

Mise à jour débits caractéristiques le 23/04/2025.
","02/03/98 00:00:00",0,NA,34,"",NA,6407,"04/23/25 09:29:00","02/03/98 00:00:00","K479301001","K4793010",1,"Loire"
"240",13,"K1341810","RIGNY/ARROUX","Arroux",730160,2171860,NA,2277,"S",430450,27.2,1.22,248,338,398,"K1341810","Mise à jour Débits caractéristiques le 15/04/2025","12/26/00 00:00:00",0,NA,NA,"",NA,NA,"04/15/25 16:01:00","","K134181001","K1341810",1,"Loire"
"241",14,"K1773010","VERNEUIL","Aron",694500,2206520,NA,1465,"S",430450,17.5,1.13,186,236,269,"K1773010"," Mise à jour Débits caractéristiques le 16/04/2025","12/26/00 00:00:00",0,NA,NA,"",NA,NA,"04/16/25 11:34:00","","K177301001","K1773010",1,"Loire"
"242",15,"K3650810","CUFFY (LE GUÉTIN)","Allier",655850,2216600,NA,14310,"S",430450,138,22.9,554,796,956,"K3650810"," Mise à jour Débits caractéristiques le 16/04/2025","02/03/98 00:00:00",0,NA,NA,"CUFFY",NA,NA,"04/16/25 16:21:00","","K365081001","K3650810",1,"Loire"
"243",16,"K3400810","CHATEL-DE-NEUVRE","ALLIER",675390,2156330,NA,12430,"S",430450,113,23.1,578,812,967,"K3400810","Mise à jour des débits caractéristiques le 02/05/2025","02/03/98 00:00:00",0,NA,NA,"CHATEL-DE-NEUVRE",NA,NA,"05/02/25 15:18:00","","K340081001","K3400810",1,"Loire"
"244",17,"K3450810","MOULINS","Allier",675630,2173900,NA,12980,"S",430450,130,24.3,581,799,943,"K3450810","Mise à jour des débits caractéristiques le 02/05/2025","02/03/98 00:00:00",0,NA,NA,"",NA,NA,"05/02/25 15:22:00","","K345081001","K3450810",1,"Loire"
"245",20,"K1563020","SAINT-POURCAIN-SUR-BESBRE","La Besbre",701030,2164930,NA,710,"S",430450,7.75,0.656,58.4,86.7,105,"K1563020"," Mise à jour Débits caractéristiques le 16/04/2025","02/03/98 00:00:00",0,NA,NA,"SAINT-POURCAIN-SUR-BESBRE",NA,NA,"04/16/25 16:46:00","","K156302001","K1563020",1,"Loire"
"246",21,"K1321810","ETANG SUR ARROUX","Arroux",741330,2207550,NA,1798,"S",430450,22.2,1.06,229,316,374,"K1321810"," Mise à jour Débits caractéristiques le 15/04/2025","10/16/20 09:52:00",0,NA,NA,"",NA,NA,"04/15/25 15:53:00","","K132181010","K1321810",1,"Loire"
"247",24,"K5383020","HERISSON","Aumance",628890,2167600,NA,920,"S",430450,5.38,0.108,94.1,154,194,"K5383020","Mise à jour des débits caractéristiques le 17/04/2025","02/03/98 00:00:00",0,NA,NA,"HERISSON",3127,19197,"04/18/25 15:12:00","","K538302001","K5383020",1,"Loire"
"248",26,"K5400920","ST AMAND MONTROND","Le Cher",611810,2192170,NA,3492,"S",430450,27.2,2.6,240,366,449,"K5400920","MISE A JOUR DEBITS CARACTERISTIQUES LE 02/05/2025.","01/04/16 16:27:00",0,NA,NA,"STAMAND MONROND",18197,14986,"05/02/25 09:57:00","","K540092001","K5400920",1,"Loire"
"249",29,"K6192420","MÉREAU [ALNAY]","Arnon",626.739,6675.975,NA,2164,"S",430450,11.7,1.66,87.2,133,164,"K6192420","Contrôle: Seuil Béton à l'amont, au pied du Pont.  Equipement: PLQ 2000 2400BD Téléphone: 02.48.52.83.67
Mesures de crues faites au pont de Méreau, 2 km en amont de la station 
mars 2017: Interlocuteur du conseil départemental pour les travaux sur le pont de Méreau(mesure en crue): Fabrice Bruneau tél 0682917242

Mise à jour Débit caractéristiques le 24/04/2025","12/23/15 11:40:00",0,NA,NA,"",NA,9794,"04/24/25 11:19:00","09/01/96 00:00:00","K619242001","K6192420",1,"Loire"
"250",30,"K5712310","FOECY","Yevre",637.081,6676.655,NA,1970,"S",430450,14,1.37,64.6,91,108,"K5712310","MISE A JOUR DEBITS CARACTERISTIQUES LE 02/05/2025.","12/14/00 00:00:00",0,NA,NA,"",NA,NA,"05/02/25 10:02:00","","K571231001","K5712310",1,"Loire"
"252",32,"K6492510","SELLES ST ANDRE [HS]","La Sauldre",539180,2254880,NA,2254,"S",430450,14.8,1.69,87.5,121,143,"K6492510","Station influencée par les crues du Cher à partir de 350 m3/s

Débits caractéristiques mis à jour le 16/04/2025","03/10/00 00:00:00",0,NA,NA,"",NA,NA,"04/16/25 17:03:00","","K649251001","K6492510",1,"Loire"
"253",33,"K6500910","CHÂTILLON-SUR-CHER","Le Cher",585.686,6686.625,NA,11540,"S",430450,71.9,7.49,398,555,658,"K6500910","Cette station est située sur la commune de Châtillon sur Cher (41) dans le bâtiment attenant à l'ancienne maison éclusière en aval de l'écluse direction Meusnes.
Contrôle: seuil naturel-Equipement : PLQ 2000- 9600BD Téléphone: 02.54.71.54.40
Temps de propagation moyen entre Selles-Thizardière et Chatillon -> 2h 

Mise à jour débits caractéristiques le 23/04/2025.
","12/23/15 11:41:00",0,NA,NA,"",NA,6947,"04/23/25 09:51:00","01/01/93 00:00:00","K650091001","K6500910",1,"Loire"
"254",39,"K7022620","MONTGIVRAY","Indre",621.858,6611.684,NA,227,"S",430450,1.4,0.1,20.5,29.7,35.7,"K7022620","station utilisée de 1992 à 1995 puis reprise en 2008

Mise à jour débits caractéristiques le 17/04/2025
","02/06/98 00:00:00",0,NA,NA,"",NA,19218,"04/18/25 07:34:00","09/01/92 00:00:00","K702262001","K7022620",1,"Loire"
"255",40,"K7202610","ARDENTES (HAUTEURS)","Indre",610.732,6627.512,NA,697,"S",430450,5.08,0.351,58,89,110,"K7202610","Mise à jour débits caractéristiques le 17/04/2025","02/06/98 00:00:00",0,NA,NA,"ARDENTES",36005,15517,"04/18/25 07:39:00","","K720261001","K7202610",1,"Loire"
"256",41,"K7312610","SAINT-CYRAN-DU-JAMBOT","Indre",557.72,6659.115,NA,1712,"S",430450,12.8,1.53,95,150,190,"K7312610","Mise à jour des débits caractéristiques le 17/04/2025","02/06/98 00:00:00",0,NA,NA,"",NA,8002,"04/18/25 07:47:00","","K731261001","K7312610",1,"Loire"
"257",44,"K1930010","NEVERS","La Loire",663160,2220960,NA,17570,"S",430450,174,23.2,1010,1380,1620,"K1930010"," Mise à jour Débits caractéristiques le 16/04/2025","03/10/00 00:00:00",0,NA,NA,"",NA,NA,"04/16/25 16:19:00","","K193001010","K1930010",1,"Loire"
"258",45,"K4350010","ORLEANS PONT ROYAL","La Loire",567710,2322210,NA,36970,"S",430450,330,48.4,1400,1970,2340,"K4350010","Mise à jour débits caractéristiques le 23/04/2025.
","03/10/00 00:00:00",0,20,60,"",NA,NA,"04/23/25 08:02:00","","K435001010","K4350010",1,"Loire"
"259",46,"K4350020","ORLEANS QUAI","La Loire",NA,NA,NA,36970,"S",430450,330,48.4,1400,1970,2340,"K4350020","Mise à jour débits caractéristiques le 23/04/2025.
","08/05/03 00:00:00",0,NA,NA,"",NA,NA,"04/23/25 08:05:00","","K435001020","K4350010",1,"Loire"
"260",48,"K4470010","BLOIS","La Loire",574.96,6721.749,NA,38320,"S",430450,355,56.9,1440,1940,2280,"K4470010","Cette station est située sur la commune de Blois(41) dans le centre ville, à 50m en aval RD du pont historique. Les instruments sont dans un local situé dans le parking ""Valin de la Vaissière"" au niveau de la barrière d'entrée
Type de contrôle: naturel Les mesures d'étiage sont effectuées à la station de Onzain (Pt de Chaumont) à 17km en aval
Equipement: Station LNS et LPN8, alimentation secteur
01/09/2009 : Nivellement géomètre IGN 69

Mise à jour des débites caractéristiques le 17/04/2025","02/02/12 14:17:00",0,NA,NA,"BLOIS",41018,6597,"04/18/25 14:42:00","01/00/00 00:00:00","K447001001","K4470010",1,"Loire"
"261",49,"K4800010","ONZAIN [PONT DE CHAUMONT]","La Loire",563.67,6711.028,NA,40500,"S",430450,335,66.3,1500,2030,2380,"K4800010","Cette station est située sur la commune de Onzain(41), à 50m en aval RD  du pont de Chaumont. 
Type de contrôle: naturel - Equipement: Station CPL et capteur LPN8.  secteur. Echelle inclinée sur sa partie haute
01/09/2009  Nivellement géomètre(IGN 69)

Mise à jour des débits caractéristiques le 17/04/2025","02/17/12 14:15:00",0,NA,NA,"ONZAIN",41167,5964,"04/18/25 14:44:00","09/01/93 12:00:00","K480001001","K4800010",1,"Loire"
"262",50,"K4843010","COULANGES [HS]","La Cisse",567.281,6717.723,NA,490,"S",430450,NA,NA,NA,NA,NA,"K4843010","","12/23/15 11:39:00",0,NA,NA,"",NA,NA,"04/02/25 14:52:00","","K484000101","K4840001",1,"Loire"
"263",53,"K1383010","VITRY EN CHAROLAIS","La Bourbince",733620,2165490,NA,819,"S",430450,7.62,0.964,74.9,101,119,"K1383010","Mise à jour Débits caractéristiques le 15/04/2025","12/26/00 00:00:00",0,NA,NA,"",NA,NA,"04/15/25 16:22:00","","K138301001","K1383010",1,"Loire"
"264",55,"K4000010","GIVRY","La Loire",655780,2224460,NA,32610,"S",430450,305,52.1,1460,2020,2390,"K4000010"," Mise à jour Débits caractéristiques le 16/04/2025","03/10/00 00:00:00",0,NA,NA,"",NA,NA,"04/16/25 16:28:00","","K400001010","K4000010",1,"Loire"
"265",59,"K0030020","ISSARLES (PONT DE LA BORIE","LOIRE",782883,6413947,NA,226,"S",430450,1.49,0.42,100,220,290,"K0030020","","",NA,NA,NA,"",NA,88134,"12/17/15 15:34:00","08/30/13 16:00:00","K003002010","K0030020",NA,"Loire"
"266",74,"K4900030","TOURS [PONT MIRABEAU]","La Loire",526.55,6702.409,NA,42130,"S",430450,330,67.1,1520,2030,2380,"K4900030","K4900010 Wilson amont Rive Gauche a été remplacée par K4900020 station aval Wilson Rive Droite qui a été  remplacée par K4900030 Mirabeau
Cette station est située sur la commune de Tours(37) dans le centre ville, à l'aplomb aval RG  du pont Mirabeau. On accède à la station par l'entrée du parking sur berge situé au même endroit
Contrôle: naturel - Les mesures d'étiage sont effectuées à 4km en aval de la station, au lieu-dit "" la Guignière "" sur la commune de Fondettes
Equipement: Station CPL équipée de capteurs LPN8 et radar radio-télétransmis. Alimentation secteur
01/09/2009 : Nivellement géomètre (IGN 69)
08/03/2011 : Mise en service du capteur radar télétransmis sur la partie centrale du lit mineur - Dorénavant c'est la voie officielle des données hauteurs à traiter.

Mise à jour des débits caractéristiques le 17/04/2025
","02/14/12 17:34:00",0,NA,NA,"TOURS",37261,4295,"04/18/25 14:46:00","01/01/95 00:00:00","K490003010","K4900030",1,"Loire"
"267",75,"K6710910","TOURS [PONT SAINT SAUVEUR]","Le Cher",524.8,6699.493,NA,13615,"S",430450,81.5,9.19,421,591,704,"K6710910","Cette station est située sur la ville de Tours (31) au Pont St Sauveur, boulevard Louis XI,  qui relie Tours à Joué les Tours. 
Contrôle: Radier naturel.- Equipement : PLQ 2000- 2400 BD Téléphone: 02.47.37.97.04
La station peut être influençée par un ouvrage en aval. Au grands moulins de Ballan, une vanne régule la lame d'eau sur le déversoir. Mr Piaumier tél 02 47 53 00 15, employé du moulin, manoeuvre cette vanne deux par an. Il existe donc deux positions une, estivale et l'autre hivernale.
L'observation de l'environnement proche de la station laisse penser qu'une influence de la végétaion aquatique dans le lit sur les hauteurs enregistrées est possible.

Mise à jour débits caractéristiques le 23/04/2025.

","12/23/15 11:41:00",0,NA,NA,"",NA,4254,"04/23/25 09:53:00","","K671091001","K6710910",1,"Loire"
"268",76,"K4080010","ST SATUR-ST THIBAULT","Loire",NA,NA,NA,NA,"S",430450,285,52.5,1460,2070,2470,"K4080010","Mise à jour débits caractéristiques le 22/04/2025.","08/28/00 00:00:00",10,NA,NA,"",NA,NA,"04/23/25 07:40:00","","K408001001","K4080010",1,"Loire"
"269",77,"K6830020","LANGEAIS","Loire",503.95,6694.266,NA,56480,"S",430450,415,79.2,1720,2330,2740,"K6830020","Cette station est située sur la commune de Langeais(37), implanté dans un abri en contrebas du pont, coté aval RD. On accède à la station par l'accès au chemin de berge coté aval RD.
Objectif connu: Hydrologie générale et prévision des crues
Equipement: Station CPL équipée de capteur LPN8. Alimentation secteur
Evénements marquants:
01/01/1987: Départ des données hauteurs disponibles sur Hydro
01/01/1985: Départ des données débits disponibles sur Hydro
01/09/2009 : Nivellement de l'altitude du "" 0 "" de l'échelle historique de la 1ère pile coté RD du pont par un cabinet de géomètre - Echelle utilisée par l'hydrométrie
01/09/2009 : Nivellement de l'altitude du "" 0 "" de l'échelle inclinée 50m en amont du pont coté RD par un cabinet de géomètre-Cote (IGN 69): 36.463m
16/09/2011 : Remise en état des rappels d'échelle étiage et replacée à l'aplomb aval du pont, là où il y a la prise de pression du LPN8. Auparavant, ils étaient plutôt dans l'axe du pont. Photos

Mise à jour des débits caractéristiques le 17/04/2025","03/16/12 14:21:00",10,NA,NA,"LANGEAIS",37123,3451,"04/18/25 14:48:00","09/01/85 12:00:00","K683002001","K6830020",1,"Loire"
"270",78,"K5090910","CHAMBONCHARD 2 [HS]","CHER",NA,NA,NA,517,"S",430450,NA,NA,NA,NA,NA,"K5090910","remplace la K5090905, période du 3 juin 1966 au 12 juillet 2000
K509 0900 02 - Le Cher à Chambonchard - Rive droite aval pont vieille échelle","11/17/97 00:00:00",0,NA,NA,"",NA,NA,"04/02/25 15:57:00","06/03/66 00:00:00","K509090002","K5090900",NA,"Loire"
"271",79,"K5090900","CHAMBONCHARD (LA CABORNE)","Cher",616400,2130760,NA,NA,"S",430450,5.65,0.16,59,90,110,"K5090900","station cristal sur la pèriode du 16 janvier 2001 à nos jours","01/04/16 16:20:00",0,NA,NA,"CHAMBONCHARD",23046,31751,"04/16/25 15:42:00","01/01/12 00:00:00","K509090001","K5090900",1,"Loire"
"272",81,"K5143110","GOUZON","VOUEIZE",594108,2132947,NA,144,"S",430450,1.48,0.044,13,17,20,"K5143110","","01/04/16 16:11:00",0,NA,NA,"GOUZON",23093,NA,"01/04/16 16:11:00","","K514311001","K5143110",1,"Loire"
"273",82,"K5183010","EVAUX LES BAINS","TARDES",NA,NA,NA,854,"S",430450,NA,NA,NA,NA,NA,"K5183010","K518 3020 02 - La Tardes à Évaux-les-Bains","01/08/01 00:00:00",0,NA,NA,"",NA,NA,"04/02/25 15:59:00","","K518302002","K5183020",NA,"Loire"
"274",84,"K1833010","SAINT-GERMAIN-CHASSENAY","Acolin",683600,2198940,NA,389,"S",430450,2.42,0.646,26.3,44,55.8,"K1833010"," Mise à jour Débits caractéristiques le 16/04/2025","03/10/00 00:00:00",0,NA,NA,"SAINT-GERMAIN-CHASSENAY",NA,NA,"04/16/25 11:42:00","","K183301001","K1833010",1,"Loire"
