nosta,codehydro,nom,courdo,xlambert,ylambert,pk,bv,type,nogest,module,qrefetiage,qix2,qix5,qix10,mnemo,comment,datemaj,typemes,nomcommune,inseecommune,ngfechelle,dateenregistrement,datecreation,cotedebordement,coteseuil,codehydro3,codesitehydro3,synchronisation
11,"A9192060","SARRALBE [EICH]","ALBE",942.681,2454.562,999.997,408.89001,"S","115680",3.22,0.229,39.1,59.8,73.5,"EICH","Les PK ont été vérifiés en mars 2010 via la BD Carthage.
La superficie du Bassin Versant a été vérifié via l'outil décli,c compatible avec la BD Carthage, en mars 2010.","11/26/09 16:16:00","00",,,,"07/05/23 15:56:00",,,,"A919205050","A9192050",
310,"A9425050","BLIESBRUCK_HS","BLIES",953.4299999999999,2468.47,982.3,1930,"S","367670",,,137,209,257,"A9425050",,"12/11/98 00:00:00","10",,,,"03/05/24 16:40:00",,,,"A937205040","A9372050",
312,"A9612010","CREUTZWALD","BISTEN",917120,2478580,,55.799999,"S","115680",0.546,0.254,5.09,7.44,8.99,"CREUTZ","Station gerée par la DREAL LORRAINE jusqu'en Janvier 2011 et transferée par convention au Service de la Navigation de Strasbourg qui en était gestionaire jusqu'en Janvier 2012, depuis cette date et suite à le restructuration des missions régaliennes la station est gerée par la DREAL ALSACE.

Un import des jaugeages (fournis par la DREAL LORRAINE) et un import des courbes de tarage présentent dans la Banque Hydro 2 vers Bareme à été effectué le 16/07/2012",,"00",,,,"07/05/23 16:02:00","06/06/12 16:33:00",,,"A961205050","A9612050",
13,"A9013050","VASPERVILLER","SARRE ROUGE",948.357,2415.084,995.45,89.5,"S","115680",1.45,0.524,8.220000000000001,13.7,17.4,"VASP","Les PK ont été vérifiés en mars 2010 via la BD Carthage.
La superficie du Bassin Versant a été vérifié via l'outil décli,c compatible avec la BD Carthage, en mars 2010.","11/26/09 16:21:00","00",,,,"07/05/23 15:48:00",,,,"A901305050","A9013050",
309,"A9021050","HERMELANGE","SARRE",944.424,2419.333,780.99,185.75,"S","367670",,,,,,"HERMLIMNI","Les PK ont été vérifiés en mars 2010 via la BD Carthage.
La superficie du Bassin Versant a été vérifié via l'outil décli,c compatible avec la BD Carthage, en mars 2010.
Cette station correspond à l'ancienne station limnimétrique se trouvant à l'aval du seuil formé par le radier du pont.","12/18/98 00:00:00","00",,,,"01/31/22 10:25:00",,,,"A902101060","A9021010",
315,"A9372060","BLIESBRUCK TYROLIENNE","BLIES",953.444,2468.475,983.2,1815,"S","367670",,,,,,"BLI2","Nouvelle station au niveau du terrain de foot.",,"00",,,,"02/16/16 16:09:00","03/27/15 11:36:00",,,"A937205051","A9372050",
316,"A9021021","IMLING","RUISSEAU",944600,2422564,,,"S","115680",,,,,,"IMLI","STATION EN PHASE DE TEST POUR PRENDRE EN COMPTE L'APPORT DU RUISSEAU QUI SE JETTE DANS LA SARRE ENTRE HERMELANGE ET SARREBOURG ",,"10",,,,"07/05/23 14:59:00","09/25/15 10:17:00",,,"A902102101","A9021021",
19,"A9021010","SARREBOURG ","SARRE",946.662,2425.803,788.5,310.89999,"S","115680",2.91,0.305,31.9,45.7,54.8,"SARREB","Les PK ont été vérifiés en mars 2010 via la BD Carthage.
La superficie du Bassin Versant a été vérifié via l'outil décli,c compatible avec la BD Carthage, en mars 2010.","11/26/09 16:18:00","00",,,,"07/05/23 15:46:00",,,,"A902102050","A9021020",
12,"A9221010","SARREINSMING","SARRE",948.468,2464.885,868.174,1760,"S","367670",,,,,,"SARREI","Les PK ont été vérifiés en mars 2010 via la BD Carthage.
La superficie du Bassin Versant a été vérifié via l'outil décli,c compatible avec la BD Carthage, en mars 2010.","11/26/09 16:20:00","00",,,,"03/04/16 10:47:00",,,,"A931108050","A9311080",
317,"A9372053","FRAUENBERG","BLIES",,,,,"S","367670",,,,,140,"FRAUENBERG","Station test installée en octobre 2018",,"00","FRAUENBERG",,,"08/27/24 16:41:00","10/25/18 17:06:00",,,"A937205301","A9372053",
318,"A9532010","FORBACH HS","Rosselle",,,,,"S","367670",,,,,,"FORBACH HS",,,"00",,,19300,"11/20/23 16:04:00","04/20/20 17:20:00",,,"A953205060","A9532050",
319,"A9400001","HANWEILER","Sarre",,,,,"S","115680",,,,,,"HANWEILER","Station pour export Hydro2",,"00",,,,"04/19/21 15:57:00","01/14/15 14:50:00",,,"A940000101","A9400001",
320,"A12345678","SEMAPHORE-KEHL MERE - FILLE","Rhin",,,,,"S","367670",,,,,,,"Test des courbes de tarage à double échelle avec la station de Kehl",,,,,,"01/28/25 14:14:00","08/23/23 11:05:00",,,,,
321,"A23456789","SEMAPHORE-WANTZ MERE - FILLE","Rhin",,,,,"S","367670",,,,,,,"CT mère fille avec la station VNF de la Wantzenau",,,,,,"08/29/23 16:46:00","08/29/23 15:51:00",,,,,
