nosta,codehydro,nom,courdo,xlambert,ylambert,pk,bv,type,nogest,module,qrefetiage,qix2,qix5,qix10,mnemo,comment,datemaj,typemes,synchronisation,cotedebordement,coteseuil,nomcommune,inseecommune,ngfechelle,dateenregistrement,datecreation,codehydro3,codesitehydro3
62,"L0231510","PONTARION","TAURION",562061,2001817,,388,"S","007007",6.7,0.8,49,64,74,"L0231510","station gérée par le bassin Loire Bretagne jusqu'au 15/09/2000","10/12/11 09:36:00","00",,,,"PONTARION ","23155",43647,"08/29/25 10:27:00",,"L023151001","L0231510"
63,"L0314010","SAINT MARTIN SAINTE CATHERINE","VIGE",589889,6540580,,134,"S","007007",2.61,0.44,21,28,33,"L0314010",,"11/21/97 00:00:00","00",,,,"SAINT-MARTIN-SAINTE-CATHERINE","23217",29747,"08/29/25 10:41:00",,"L031401001","L0314010"
64,"L0400610","LE PALAIS SUR VIENNE","VIENNE",570147,6530328,,2317.1799,"S","007007",,8.029999999999999,231,310,363,"L0400610",,"03/24/23 14:33:00","00",,,,"PALAIS-SUR-VIENNE","87113",22219,"08/29/25 11:45:00","04/07/08 10:22:00","L040061001","L0400610"
65,"L0563010","CONDAT (CHAMBON VEYRINAS)","BRIANCE",563232,6519004,,597,"S","007007",7.73,1.15,98.59999999999999,142,171,"L0563010",,"03/24/23 14:43:00","00",,,,"CONDAT-SUR-VIENNE","87048",21012,"08/29/25 11:27:00",,"L056301001","L0563010"
66,"L0614020","ISLE","L'AURENCE",559435,6525111,,87,"S","007007",1.23,0.27,17,21,25,"L0614020",,,,,,,"ISLE ","87075",22947,"08/29/25 11:31:00",,"L061402001","L0614020"
67,"L0700610","VERNEUIL SUR VIENNE","VIENNE",,,,3393,"S","007007",59.3,13,390,550,650,"L0700610","PONT DE LA GABIE","03/08/02 00:00:00","00",,,,,,,"05/14/18 16:44:00",,"L070061001","L0700610"
68,"L0813010","SAINT JUNIEN","GLANE",538438,6536942,,288,"S","007007",3.83,0.263,34.9,49.3,58.9,"L0813010",,"03/24/23 14:47:00",,,,,"SAINT-JUNIEN","87154",20738,"10/03/25 12:10:00",,"L081301001","L0813010"
69,"L0914020","CHAILLAC","GORRE",536089,6529242,,186,"S","007007",1.88,0.12,27.9,40.3,48.5,"L0914020",,"03/24/23 14:59:00",,,,,"CHAILLAC-SUR-VIENNE","87030",18781,"08/29/25 11:44:00",,"L091402001","L0914020"
70,"L0920620","ETAGNAC (CHATENET)","la vienne",527733,6531777,,4097.3999,"S","007007",55.3,13,348,476,561,"ETAGNAC CH",,"03/24/23 15:05:00","00",,,,"ETAGNAC","16132",15099,"08/29/25 11:45:00","09/22/14 15:06:00","L092061002","L0920610"
71,"L1004010","SAINT MAURICE DES LIONS","LE GOIRE",520962,6546616,,134.42,"S","007007",1.26,0.059,24,33,39,"ST MAURICE",,,,,,,"SAINT-MAURICE-DES-LIONS","16337",14634,"08/29/25 11:50:00","04/09/08 13:58:00","L100401001","L1004010"
72,"L1113020","ESSE","ISSOIRE",525958,6552244,,265.38,"S","007007",2.41,0.057,41,63,77,"ESSE","Station implantée au pont Binot",,,,,,"ESSE","16131",15326,"08/29/25 11:49:00","04/09/08 14:03:00","L111301001","L1113010"
73,"L1313010","PERSAC","Grande Blourde",523502,6581810,,292.48999,"S","007007",,,,,,"PERSAC","La station de Persac a fonctionné initialement au pont de La Bussière puis au pont de Kiel à compter du xx/10/2012.
L'ensemble des hauteurs a fait l'objet durant la période initiale d'une double lecture à la Bussière et à Kiel.
Sur barème les hauteurs prises en compte sont celles de Kiel et celles de la Bussière apparaissent en commentaire.
",,,,,,"PERSAC","86190",10074,"08/29/25 11:45:00","10/29/12 14:00:00","L131000101","L1310001"
74,"L1400610","LUSSAC LES CHATEAUX","Vienne",474300,2157360,,5535,"S","007007",78,15.2,560,743,865,"LUSSAC","Echelle et station RG sur la commune de Mazerolles","03/24/23 15:07:00",,,,,"LUSSAC-LES-CHÂTEAUX","86140",7011,"08/29/25 11:42:00","12/01/04 16:35:00","L140061001","L1400610"
75,"L2404030","VOUNEUIL SOUS BIARD","LA BOIVRE",491258,6612475,,177.03,"S","007007",1.02,0.13,8.300000000000001,14,18,"VOUNEUIL",,"11/28/02 00:00:00","00",,,,"VOUNEUIL-SOUS-BIARD","86297",8460,"08/22/25 15:32:00",,"L240403001","L2404030"
76,"L2443010","QUINCAY","L AUXANCE",440800,2182490,,262,"S","007007",1.55,0.161,11,17,21,"L2443010","Altitude : 82.86m","11/07/02 00:00:00","00",,,,"QUINCAY","86204",8301,"10/03/25 12:13:00",,"L244301001","L2443010"
77,"L2501610","DISSAY","Clain",503110,6625709,,2883.22,"S","007007",20.9,2.9,120,180,220,"DISSAY",,,,,,,"DISSAY","86095",5962,"08/22/25 14:40:00","12/23/04 11:31:00","L250161001","L2501610"
78,"L2523010","SAINT MARTIN LA PALLU (VENDEUVRE)","LA PALLU",497559,6627049,,173.17999,"S","007007",0.542,0.022,2.5,4.5,5.8,"VENDEUVRE",,,"10",,,,"VENDEUVRE-DU-POITOU","86281",7150,"08/22/25 15:20:00","07/29/09 16:43:00","L252301001","L2523010"
79,"L3033010","CHATELLERAULT (M HALLES)","OZON",515486,6633283,,265.20001,"S","007007",0.629,0.079,8.94,15.2,19.4,"MLIN HALLE","Station de Moulin des Halles
Echelle sur la commune de Châtellerault","03/24/23 15:10:00",,,,,"CHATELLERAULT","86066",5697,"10/03/25 12:16:00","04/09/08 14:04:00","L303301001","L3033010"
80,"L3123010","THURE","L'ENVIGNE",459447,2203009,,242,"S","007007",0.6929999999999999,0.015,7.32,12,15.1,"THURE","Altitude : 54.25 m
Station implantée au pont de Besse","03/24/23 15:14:00","00",,,,"THURE","86272",5422,"08/29/25 11:33:00",,"L312301001","L3123010"
81,"L3200610","INGRANDES","VIENNE",514473,6644741,,10050,"S","007007",119,20.9,714,977,1150,"L3200610",,"03/24/23 15:17:00","00",,,,"INGRANDES","86111",3907,"08/29/25 11:14:00",,"L320062001","L3200620"
82,"L4010710","FELLETIN","CREUSE",635418,6532418,,165,"S","007007",3.78,0.52,26,35,40,"L4010710","Pont des malades","11/21/97 00:00:00","00",,,,"FELLETIN","23079",49683,"08/18/25 10:53:00",,"L401071001","L4010710"
83,"L4033010","MOUTIER ROZEILLE","ROZEILLE",636245,6537244,,186,"S","007007",2.56,0.17,19,25,30,"L4033010",,"10/01/09 16:55:00","00",,,,"MOUTIER-ROZEILLE","23140",44092,"08/22/25 11:38:00",,"L403301001","L4033010"
84,"L4210710","GLENIC","CREUSE",616674,6569904,,944,"S","007007",12.3,1.2,120,180,220,"L4210710","Code cadena acces seuil 1947","11/21/97 00:00:00","00",,,,"GLÉNIC","23092",30271,"08/22/25 10:58:00",,"L421071001","L4210710"
85,"L4220710","FRESSELINES (PONT VERVY)","CREUSE",598466,6587348,,1233.96,"S","007007",15.8,1.1,130,190,220,"L4220710",,"11/12/97 00:00:00","00",,,,"FRESSELINES","23087",20283,"08/22/25 10:51:00",,"L422071001","L4220710"
86,"L4411710","FRESSELINES (PUY RAGEAUD)","PETITE CREUSE",599253,6588169,,850,"S","007007",8.49,0.43,110,160,190,"L4411710",,"11/04/97 00:00:00","00",,,,"FRESSELINES","23087",20525,"08/18/25 11:11:00",,"L441171001","L4411710"
87,"L4653010","VELLES","bouzanne",595018,6619346,,435.67001,"S","007007",3.11,0.29,63,100,130,"VELLES",,,,,,,"VELLES","36231",12144,"08/22/25 13:30:00","12/20/04 15:50:00","L465301001","L4653010"
88,"L4730710","LE BLANC","Creuse",551757,6616351,,3575.3799,"S","007007",28.8,2.48,249,387,478,"LE BLANC",,"03/24/23 15:26:00","00",,,,"BLANC","36018",7486,"08/22/25 11:20:00","05/02/06 14:46:00","L473071001","L4730710"
89,"L5323010","ORADOUR SAINT GENEST","La Brame",545859,6574379,,232.35001,"S","007007",2.2,0.056,34.4,48.9,58.5,"ORADOUR",,"03/31/23 13:29:00",,,,,"ORADOUR-SAINT-GENEST","87109",16128,"08/22/25 14:41:00","12/21/04 09:10:00","L532301001","L5323010"
90,"L5411810","MONTMORILLON","Gartempe",536383,6593687,,1867.37,"S","007007",21.3,2.22,188,274,330,"MONTMORILL",,"03/31/23 13:34:00",,,,,"MONTMORILLON","86165",8548,"08/22/25 14:45:00","12/21/04 09:51:00","L541181001","L5411810"
91,"L5511910","PRISSAC","L'ANGLIN",566062,6601927,,223.46001,"S","007007",1.7,0.034,55.4,86.5,107,"L5511910",,"03/31/23 13:38:00",,,,,"PRISSAC ","36168",10697,"08/22/25 14:55:00","04/07/08 10:33:00","L551191001","L5511910"
92,"L5623010","JOUAC","BENAIZE",566112,6585376,,185.35001,"S","007007",1.87,0.063,33.5,51.4,63.3,"L5623010",,"03/31/23 13:49:00","10",,,,"JOUAC ","87080",17446,"08/22/25 15:08:00",,"L562301001","L5623010"
93,"L5741915","ANGLES SUR ANGLIN","L'Anglin",538143,6623679,,1683.42,"S","007007",10.85,1.08,176,279,347,"ANGLES 001","Mise en service de l'échelle : xx/xx/200x
Mise en service de la station : xx/11/2012
Pont d'Angles","03/31/23 13:39:00","00",,,,"ANGLES-SUR-L'ANGLIN","86004",6489,"08/22/25 15:18:00","10/29/12 14:00:00","L574192002","L5741920"
94,"L5801810","VICQ SUR GARTEMPE","La GARTEMPE",487440,2192280,,3848.9099,"S","007007",29.7,4.02,283,420,510,"L5801810",,"03/31/23 13:41:00","10",,,,"VICQ-SUR-GARTEMPE","86288",6153,"08/22/25 15:22:00",,"L580181001","L5801810"
95,"L7000610","NOUATRE","VIENNE",513646,6663993,,19920,"S","007007",190,32.7,1310,1810,2150,"L7000610",,"03/24/23 15:19:00","00",,,,"NOUATRE","37174",3196,"08/29/25 10:52:00",,"L700061001","L7000610"
96,"L7024040","CROUZILLES","La Manse",506015,6674065,,186.39,"S","007007",0.713,0.225,12.2,18.2,22.2,"CROUZILLES",,"03/24/23 15:21:00",,,,,"CROUZILLES","37093",3875,"08/29/25 10:25:00","07/12/13 10:06:00","L702000101","L7020001"
97,"L7123001","LEMERE","LA VEUDE",445.88,2235.46,,412,"S","007007",1.16,0.092,7.18,12.2,15.6,"L7123001","Mise en service le 09/10/1997 à 15h30.

Cette station est située sur la commune de LEMERE (37) au lieu-dit ""Le Moulin de Coutureau"".
Carte IGN série bleue: 1724 Est

Objectif:
Besoin pour l'hydrologie générale de la région.

Equipement:
Centrale ALCYR avec capteur Ultra-Son, alimentation solaire
Télétransmission: 02 47 95 75 18 code LEMERE

Type de contrôle:
Radier de pont en taule ondulée (Type: buse ARMCO) de deux passes.
Les mesures de crues sont effectuées 3,5km en aval, au lieu-dit ""Beauvais"" sur la commune de LIGRE.

Courbe de tarage en vigueur:
Valide depuis le 28/03/2005. Le contrôle peut se retouver sous l'influence d'un seuil en moëllons, situé 700m en aval, lorsque celui-ci est encombré de branches et dépot divers

Evénements marquants:

29/01/1998 : Nivellement du ""0"" de l'échelle avec comme point repère le coin RD de la pointe amont de la pile centrale (Croquis dans le dossier station).
La cote du ""0"" est de -0,964m par rapport au repère. Photos

08/04/1998 : Photos

01/02/1999 : Découverte d'un seuil en grosses pierres encombrées de branches et autres détritus à 750 mètres en aval de la station.

01/03/1999 : Photos de la station (amont et aval du pont)

27/12/1999 : Photos de la crue à la station

21/04/2004 : Photos

31/08/2004 : Photos

17/10/2005 : Levé par géomètre pour un projet de la céation d'un seuil de contrôle - altitude du ""0"" de l'échelle:36.59m

24/11/2005 : Changement de centrale et de modem, enlèvement de matériel CR2M contre de l'ALCYR.

24/04/2006 : Photos (eutrophysation du lit)","03/24/23 15:23:00","00",,,,"LEMERE","37125",3659,"07/25/23 09:04:00",,"L712301001","L7123010"
98,"L8222110","MISSE","LE THOUET",407622,2220062,,997,"S","007007",7.7,0.41,156,256,322,"L8222110","4920 NGF= 0 ech diren","05/27/04 00:00:00","00",,,,"MISSE","79178",4920,"10/24/25 10:59:00",,"L822211001","L8222110"
99,"L8343010","MASSAIS","L'ARGENTON",395241,2225473,,634,"S","007007",4.56,0.025,92,139,170,"L8343010","MOULIN BERNARD
Altitude : 60.67m","01/07/04 00:00:00","00",,,,"MASSAIS ","79168",6090,"10/24/25 10:57:00",,"L834301001","L8343010"
100,"L8402135","MONTREUIL BELLAY (SAINT ELOI)","Thouet",461948,6676362,,2119.73,"S","007007",13.6,0.287,185,285,350,"L8402135",,,,,,,"MONTREUIL-BELLAY","49215",2796,"10/24/25 11:01:00","11/25/11 14:36:00","L840211002","L8402110"
101,"L8523010","POUANCAY","LA DIVE DU NORD",415794,2235805,,785,"S","007007",2.49,0.34,8.789999999999999,13.1,1716,"L8523010","LA MOTTE BOURBON","02/29/00 00:00:00","00",,,,"POUANCAY ","86196",3229,"10/24/25 11:06:00",,"L852301001","L8523010"
102,"L0321510","SAINT PRIEST TAURION (CHAUVAN)","TAURION",576725,6535121,,1030,"S","007007",18.5,3.2,130,190,240,"L0321510",,"11/21/97 00:00:00","00",,,,"SAINT-PRIEST-TAURION","87178",23617,"08/29/25 11:24:00",,"L032151001","L0321510"
103,"L0410610","LIMOGES (PONT NEUF)","Vienne",,,,2320,"S","007007",43.1,11.8,200,280,340,"L0410610","Essai de corrélation avec le Palais (PF-juin 2008)",,"00",,,,,,,"03/21/23 09:50:00","06/03/08 11:12:00","L040061002","L0400610"
104,"L0620610","AIXE SUR VIENNE","Vienne",555798,6523699,,3351,"S","007007",50.3,13,250,340,390,"L0620610",,,"00",,,,"AIXE-SUR-VIENNE","8700",19951,"08/29/25 11:35:00","06/05/08 10:09:00","L062061001","L0620610"
105,"L0920610","ETAGNAC (PONT DE  PILAS)","Vienne",479502,2097622,,4100,"S","007007",72.3,,,,,"ETAGNAC","cote en ign 69  et pas en ngf",,"00",,,,,,15300,"10/03/25 13:10:00","11/24/04 17:05:00","L092061001","L0920610"
106,"L0940610","CONFOLENS","la vienne",519749,6548610,,4395.7598,"S","007007",69.5,16,440,590,690,"CONFO","données issues de sophie",,"00",,,,"CONFOLENS","16106",12857,"08/29/25 11:39:00","04/02/07 17:36:00","L094061001","L0940610"
107,"L1420610","VALDIVIENNE (CUBORD)","VIENNE",,,,,"S","007007",,,,,,"CUBORD 001",,,,,,,,,,"08/20/25 15:21:00","05/14/09 08:59:00","L142000301","L1420003"
108,"L1440610","CHAUVIGNY","vienne",519421,6610414,,5976.0698,"S","007007",78.40000000000001,17,500,660,770,"CHAUVIGNY",,,,,,,"CHAUVIGNY","86070",6038,"08/29/25 11:40:00","12/20/04 15:16:00","L144061001","L1440610"
109,"L2313030","MARNAY","La Clouère",497500,6591137,,313.63,"S","007007",,,,,,"MARNAY",,,"00",,,,"MARNAY","86148",10279,"08/22/25 14:43:00","10/21/14 15:04:00","L231301401","L2313014"
110,"L2321610","VIVONNE (DANLOT)","Clain",491670,6596929,,1806.22,"S","007007",13.9,1.6,96,150,180,"VIVONNE",,,,,,,"VIVONNE","86293",8412,"08/22/25 15:25:00","12/23/04 11:19:00","L232161001","L2321610"
111,"L2334010","SMARVES","LE MIOSSON",449313,2171160,,129,"S","007007",0.33,0.032,4.8,8.800000000000001,11,"L2334010"," Altitude 90.00m","11/07/02 00:00:00","00",,,,"SMARVES","86263",8962,"08/22/25 15:22:00",,"L233401001","L2334010"
112,"L2404020","BERUGES","La Boivre",486364,6611208,,149.86,"S","007007",0.924,0.12,5.9,9,11,"L2404020","Section de jaugeage à confirmer .",,"00",,,,"BÉRUGES","86024",9464,"10/03/25 13:11:00","02/12/07 14:12:00","L240402001","L2404020"
113,"L2404040","POITIERS (GARE)","La Boivre",495579,6612296,,197.62,"S","007007",1.17,0.21,9.9,16,20,"POITIERS G",,,,,,,"POITIERS","86194",7205,"08/22/25 15:06:00","10/18/07 15:36:00","L240404001","L2404040"
114,"L2424010","AYRON","la Vendelogne",476509,6621663,,59.599998,"S","007007",0.324,0.003,5.2,8.199999999999999,10,"AYRON",,,"00",,,,"AYRON","86017",12194,"08/22/25 14:29:00","09/14/16 16:26:00","L242401002","L2424010"
115,"L2424015","LATILLE","l' Auxance",,,,,"S","007007",,,,,,"LATILLE",,,"00",,,,"LATILLE",,,"10/03/25 13:11:00","09/14/16 16:30:00","L242401501","L2424015"
116,"L3100610","CHATELLERAULT (PONT HENRI IV)","vienne",512484,6638064,,9989.8496,"S","007007",110,20,860,1200,1500,"CHATELL",,,,,,,"CHÂTELLERAULT","86066",4357,"08/29/25 11:24:00","12/20/04 15:03:00","L320061001","L3200610"
117,"L4100710","AUBUSSON","CREUSE",587344,2105580,,401,"S","007007",5,0.4,35,46,53,"L4100710","Installation par SPC Poitiers le 08/09/2009",,"00",,,,"AUBUSSON","23008",43085,"08/18/25 10:33:00","10/01/09 16:57:00","L410071001","L4100710"
118,"L4321711","GENOUILLAC","petite creuse",622632,6584689,,560.69,"S","007007",,,,,,"L4321711",,,,,,,"GENOUILLAC","23089",26924,"08/22/25 10:55:00","02/16/16 14:16:00","L432000101","L4320001"
119,"L4540710","GARGILESSE","CREUSE",591462,6602476,,2481,"S","007007",,,,,,"L4540710","Station pour Vigicrues - Hauteur diffusée
Sitiuée à l'aval du barrage d'Eguzon et la Roche aux Moines 
Débit de la Creuse + la Gargilesse
Pas de jaugeage pratiqué.",,"00",,,,"GARGILESSE-DAMPIERRE","36081",12464,"08/18/25 11:15:00","05/02/06 09:58:00","L454071001","L4540710"
120,"L4540720","ARGENTON SUR CREUSE","la Creuse",586529,6610898,,2636.0801,"S","007007",25.9,1.5,210,310,380,"ARGENT","seuil de St Etienne avec une pelle en mauvaise état gestion communal (projet refection pelle) 29/08/2025",,"00",,,,"ARGENTON-SUR-CREUSE",,,"08/29/25 15:17:00","04/02/07 17:51:00","L454072001","L4540720"
121,"L4700710","SAINT GAULTIER","Creuse",579629,6616237,,3260.3101,"S","007007",,,,,,"L4700710",,,"00",,,,"SAINT-GAULTIER","36192",9381,"08/22/25 11:44:00","12/22/11 13:21:00","L470071001","L4700710"
122,"L4710710","SCOURY","creuse",569113,6616158,,3333.96,"S","007007",35,3.4,340,490,590,"SCOURY",,,,,,,"CIRON","36053",8372,"08/22/25 11:47:00","12/20/04 16:06:00","L471071001","L4710710"
123,"L4730720","TOURNON SAINT MARTIN","la creuse",543623,6628013,,3645.01,"S","007007",34.9,2.1,280,430,530,"TOURNON",,,"00",,,,"TOURNON-SAINT-MARTIN","36224",6420,"08/22/25 11:51:00","04/03/07 09:16:00","L473072001","L4730720"
124,"L5114020","SAINT PARDOUX","LA COUZE",565159,6552981,,85.470001,"S","007007",,,,,,"ST PARDOUX",,,"00",,,,"SAINT-PARDOUX ","87173",33941,"08/29/25 10:55:00","09/14/16 14:49:00","L511401101","L5114011"
125,"L5401810","LATHUS SAINT REMY","Gartempe",540873,6578086,,1722.5699,"S","007007",18.5,1.9,140,190,230,"ST REMY","Pont de Massugeon",,,,,,"LATHUS-SAINT-RÉMY","86120",12093,"08/22/25 14:43:00","12/21/04 10:13:00","L540181001","L5401810"
126,"L5411815","SAINT SAVIN","LA GARTEMPE",536673,6609440,,1988,"S","007007",,,,,,"ST SAVIN","Echelle située en RG commune de St Savin
Station située en RD commune de St Germain",,,,,,"SAINT-SAVIN","86246",7532,"08/22/25 14:52:00","03/10/14 15:49:00","L541182301","L5411823"
127,"L5673010","LA TRIMOUILLE","la Benaize",,,,,"S","007007",,,,,,"TRIMOUILLE","Propriétaire du moulin à l'aval de la station (controle hydraulique) : Daniel ROCCHI 06 07 30 25 49 (15 ru edu moulin de la Font) 
Travaux/Manoeuvre vannes en septembre/octobre 2024 pour réhabiliter les dégats causés par les crues du printemps 2024
",,"00",,,,"TRIMOUILLE",,,"11/13/24 16:10:00","10/21/14 15:02:00","L567000301","L5670003"
128,"L5733020","JOURNET","LE SALLERON",,,,121,"S","007007",0.945,0.042,20,31,38,"L5733020"," Altitude : 135.00m
Pont de Tervannes","11/12/02 00:00:00","00",,,,,,,"07/25/23 08:25:00",,"L573301001","L5733010"
129,"L5741910","MERIGNY","Anglin",541214,6616581,,1636.85,"S","007007",11.9,0.68,200,320,400,"MERIGNY",,,"00",,,,"MERIGNY ","36119",7228,"10/03/25 12:12:00","03/10/06 15:07:00","L574191001","L5741910"
130,"L6000710","LA ROCHE POSAY","la creuse",533365,6634279,,7775.9502,"S","007007",62.8,8.6,500,730,880,"LA ROCHE","données issues de sophie",,"00",,,,"ROCHE-POSAY","86207",5399,"08/22/25 11:15:00","04/03/07 08:49:00","L600071001","L6000710"
131,"L6300710","DESCARTES","La Creuse",475110,2220460,,9280,"S","007007",,,,,,"DESCARTES",,,"00",,,,"DESCARTES","37115",3975,"08/18/25 10:48:00","08/05/08 15:26:00","L630071001","L6300710"
132,"L7120010","MARCAY EXPE MOULIN DES MEES","négron",,,,,"S","007007",,,,,,"MOULIN DE ","Test provisoire depuis 2021","08/31/23 15:10:00",,,,,,,,"10/03/25 12:15:00","08/05/20 15:19:00",,
133,"L7210007","BEUXES BOURG","Négron",486079,6669797,,70.980003,"S","007007",,,,,,"L7210007","Station fermée Aout 2023 - CT impossible à tenir - pb herbiers",,"10",,,,"BEUXES","86026",4158,"08/25/25 15:09:00","03/11/19 10:41:00","L721000701","L7210007"
134,"L7220610","CHINON","Vienne",490830,6677537,,20821.551,"S","007007",168,32,890,1200,1400,"CHINON",,,,,,,"CHINON","37072",2870,"08/29/25 10:14:00","12/21/04 11:48:00","L720061001","L7200610"
135,"L8102120","LE TALLUD","LE THOUET",398200,2184105,,85,"S","007007",1.11,0.058,22.3,36.7,46.2,"L8102120","LA PECHELLERIE","02/29/00 00:00:00","00",,,,"TALLUD ","79322",13515,"10/24/25 10:50:00",,"L810211001","L8102110"
136,"L8122111","PARTHENAY","LE THOUET",,,,,"S","007007",,,,,,"L8122111",,"03/01/00 00:00:00",,,,,,,,"01/15/24 14:21:00",,"L812211002","L8122110"
137,"L8122112","PARTHENAY (GODINEAU)","Thouet",,,,,"S","007007",,,,,,"PARTHENAY","Station opérationnelle depuis le 23 juillet 2020",,"00",,,,"POITIERS",,12439,"07/31/20 12:37:00","01/28/20 16:36:00","L812211004","L8122110"
138,"L8122140","SAINT LOUP LAMAIRE (PONT)","LE THOUET",408932,2201498,,384,"S","007007",4.75,0.094,130,200,250,"L8122140",,"02/29/00 00:00:00","00",,,,"SAINT LOUP LAMAIRE","79268",8389,"10/03/25 12:14:00",,"L812212001","L8122120"
139,"L8134030","GOURGE","LE CEBRON",404694,2195229,,68,"S","007007",0.504,0.001,15,24,30,"L8134030","LE CHAMP DES BALASTIÈRES
Altitude : 122.65 = 0 échelle DIREN ( cote selon DDE 79)","02/21/05 00:00:00","00",,,,,,12265,"10/03/25 13:12:00",,"L813401001","L8134010"
140,"L8142110","SAINT GENEROUX","LE THOUET",460958,6647356,,701,"S","007007",5.49,0.22,125,202,253,"L8142110",,"03/01/00 00:00:00",,,,,"SAINT-GÉNÉROUX","79252",5956,"10/24/25 11:07:00",,"L814211001","L8142110"
141,"L8402130","MONTREUIL BELLAY (PONT NAPOLEON)","LE THOUET",,,,,"S","007007",,,,,,"L8402130",,"01/22/01 00:00:00","10",,,,,,,"10/03/25 12:13:00",,"L840211001","L8402110"
142,"L8602120","CHACE","Le Thouet",466930,6684041,,3267.6899,"S","007007",17.6,0.78,181,269,327,"CHACE","PONT DE CHACÉ","01/06/03 00:00:00","00",,248,,"CHACÉ ","49060",2458,"10/24/25 10:47:00",,"L860211002","L8602110"
143,"N4120010","SAINTE OUENNE","Egray",434627,6596276,997.894,78.559998,"S","007007",1,0,30.2,54.5,70.5,"STE_OUENNE",,"02/03/25 12:46:00","00",,,,"SAINTE-OUENNE","79284",2544,"08/25/25 11:43:00","12/08/08 11:27:00","N412001001","N4120010"
144,"N4200010","MOUGON (MONTAILLON)","Lambon",449210,6583648,972.366,27.469999,"S","007007",,,5.98,11,14.4,"MOUGON",,"02/03/25 12:41:00","10",,,,"MOUGON","79185",8769,"08/25/25 10:52:00","12/08/08 11:47:00","N420001001","N4200010"
145,"N4300620","NIORT (TIFFARDIERE PONT)","LA SEVRE NIORTAISE",429293,6586986,998.745,876.40997,"S","007007",,,,,,"TIFF_PONT","Jeaugeage au niveau du pont a l'adcp
et jaugeage manuel du petit bras au niveau de la route.
Nivellement 0 échelle le 13/01/2012 GLB PR

Baragiste du secteur Sèvre Niortaise, Mr Humberto Borges 0549090118 ou 0664489942, Mail bureau: humberto.borges@sevre-niortaise.fr
Marc Lamber IIBSN: 0684506451, gère la Sèvre et bien plus, Chef.","02/03/25 12:09:00","00",,,,"NIORT","79191",435,"10/20/25 09:24:00",,"N430062004","N4300620"
146,"N4300621","NIORT (TIFFARDIERE BIEF)","LA SEVRE NIORTAISE",429488,6587327,998.745,876.09003,"S","007007",6.57,0.662,47,67.5,81.09999999999999,"TIFF_BIEF","Bief de l'ancien moulin de la Roussille + bras du moulin

Acces par station (ane et bouc) => Mr MAGNEIN Michel 06 87 83 65 65 / 05 49 79 50 88
Acces moulin et bief moulin => Mr GOY Anael 06 52 56 87 36

Baragiste du secteur Sèvre Niortaise, Mr Humberto Borges 0549090118 ou 0664489942, Mail bureau: humberto.borges@sevre-niortaise.fr

Marc Lamber IIBSN: 0684506451, gère la Sèvre et bien plus, Chef.","02/03/25 12:38:00","00",,,,"NIORT","79191",485,"10/20/25 09:25:00",,"N430062101","N4300621"
147,"N4300622","NIORT (TIFFARDIERE BRAS PRINCIPAL)","SEVRE NIORTAISE",429577,6587215,998.745,1070,"S","007007",4.57,0.133,58.1,94,118,"TIFF_PRIN","Bief de décharge + fuite

Baragiste du secteur Sèvre Niortaise, Mr Humberto Borges 0549090118 ou 0664489942, Mail bureau: humberto.borges@sevre-niortaise.fr

Marc Lamber IIBSN: 0684506451, gère la Sèvre et bien plus, Chef.","02/03/25 12:34:00","00",,,145,"NIORT","79191",428,"10/20/25 09:25:00",,"N430062201","N4300622"
148,"N6110610","MARANS","la sevre niortaise",395646,6587720,977.938,2209.79,"S","007007",,,,,,"MARANS","PONT SNCF
Modernisation station en débimétrie = Juin 2004
Piézzo = Mars 2005","01/30/01 00:00:00","10",,,,"MARANS","17218",9,"08/25/25 10:46:00",,"N611061001","N6110610"
149,"R1090401","LA ROCHEFOUCAULD","TARDOIRE",496408,6519139,976081,517,"S","007007",,,,,,"R1090401",,,"00",,,,"ROCHEFOUCAULD","16281",7639,"08/22/25 09:42:00","12/21/16 09:35:00","R109001002","R1090010"
150,"R1264020","MARTHON (MOULIN DE PLOUX)","LE BANDIAT",500730,6504718,0.0013,318,"S","007007",2.9,0.059,21.8,27.2,30.7,"R1264020","station prévision de crue","02/29/00 00:00:00","00",,,,"MARTHON","16211",10034,"08/22/25 09:50:00",,"R116002001","R1160020"
151,"R2220010","MONTIGNAC","la charente",,,,,"S","007007",,,,,,"R2220010",,,"00",,,,,,,"05/14/18 15:57:00","12/31/09 16:48:00","R222001002","R2220010"
152,"R2300003","CHAMPNIERS (VOUILLAC)","Argence",478.387,6516.853,,,"S","007007",,,,,,"CHAMPNIERS",,,"00",,,,"CHAMPNIERS","16078",3866,"08/08/25 14:52:00","06/14/21 11:07:00","R230000301","R2300003"
153,"R2340010","ANGOULEME","CHARENTE",478329,6509948,836520,3961,"S","007007",,,,,,"R2340010","STATION DE PREVISION DE CRUES",,"00",,,,"ANGOULÊME","16015",2661,"08/22/25 10:15:00","02/03/09 15:42:00","R234001001","R2340010"
154,"R3140010","COGNAC (PONT DE CROIN)","LA CHARENTE",440137,6515505,896034,5001,"S","007007",,,289,421,509,"R3140010",,"03/02/00 00:00:00",,,,,"COGNAC","16102",13,"11/10/25 10:24:00",,"R314001001","R3140010"
